"barracks_ranged"
{
    "BaseClass"             "npc_dota_creature"
    "Model"                 "models/props_structures/sniper_hut.vmdl"
    "ModelScale"            "0.6"  

    //this is used as a hook in events.lua OnEntityKilled()
    //to maintain the barracks spawn cap
    "UnitLabel"             "barracks"

    "ConsideredHero"        "1"

    "Level"                 "1"

    "HasInventory"          "1"    
    "AutoAttacksByDefault"  "0"
    "SelectOnSpawn"         "0"
    "WakesNeutrals"         "0"

    //Abilities  
    "AbilityLayout"         "6"
    "Ability1"              "ability_sell_tower"
    "Ability2"              "ability_barracks_spawn_ranged_defender"  
    "Ability3"              "ability_barracks_set_spawn"
    "Ability4"              "ability_upgrade_ranged_barracks_1"   
    "Ability7"              "tower_immunity"
    "Ability8"				"ability_cant_turn"

    "AttackCapabilities"    "DOTA_UNIT_CAP_NO_ATTACK"  

    "BoundsHullName"        "DOTA_HULL_SIZE_HERO"

    //this cannot be _NONE as point target spells require the unit to be able to turn
    //See tower_immunity for modifier used to root towers
    "MovementCapabilities"  "DOTA_UNIT_CAP_MOVE_GROUND"
    "MovementSpeed"         "0"

    "StatusHealth"          "1000" 

    //this is a dirty hack - set this equal to the sell price of the tower
    "StatusManaRegen"       "100" 

    //I tried using these as hooks to get the sell gold but they arent picked up by ability:GetGoldBountyMax()
    "BountyGoldMax"         "100"
    "BountyGoldMin"         "100"

    "VisionDaytimeRange"    "1000"       
    "VisionNighttimeRange"  "750"  

    "vscripts"              "scripts/vscripts/unit_scripts/towers/ai_barracks.lua"
}
